City,Place,Review,Rating,Name,Date
Location 2,Chand Baori (Step well),touts guides rip entry fees beautiful step history taj fathepur combined miss pesky guide approaches say guide need,3,Anonymous,13/05/2017
Location 2,Chand Baori (Step well),magnificent underrated attraction driver suggested stop enroute agra jaipur entrance fee queues touts town surrounding step actually really beautiful peaceful caged area,5,Anonymous,19/10/2016
Location 2,Chand Baori (Step well),jaipur difficult reach place using public transport book taxi cab jaipur hassle free transport,3,Anonymous,24/03/2022
Location 2,Chand Baori (Step well),place great piece historic architecture unique place jaipur tell visit opinion visit place unique things jaipur great piece,5,Anonymous,04/09/2018
Location 2,Chand Baori (Step well),interesting architecture huge step built way unknown reasons lost history rediscovered small shopping area sprung outside gates,4,Anonymous,20/08/2022
Location 2,Chand Baori (Step well),seen place batman movie dark knight rises heard lot bloggers planned trip jaipur sure visit chand baori abhaneri step history,4,Anonymous,15/09/2020
Location 2,Chand Baori (Step well),wonderful stepwell like stepping time visiting place wonderful temple right door,5,Anonymous,07/04/2016
Location 2,Chand Baori (Step well),example excellent architecture displays perfect geometrical shape steps nice place visit golden triangle delhi agra jaipur place worth seeing,5,Anonymous,11/02/2014
Location 2,Chand Baori (Step well),typical sightseeing place saw film told friends want place natural easy access nice relaxing mood view people,5,Anonymous,11/05/2019
Location 2,Chand Baori (Step well),largest deepest oldest historical baori constructed th century conserve water narrow steps built sides wall perfect symmetery lead amazing display ancient engineering temples,5,Anonymous,03/02/2015
Location 2,Chand Baori (Step well),right biggest stepwell iÌ‡ndia known touristic ones iÌ‡t nearly midway beetween jaipur agra turn towatfs alwar minutes tÃ¼rÃ¼n right abheneri stepwell abheneri harshat mata temple center,3,Anonymous,10/10/2017
Location 2,Chand Baori (Step well),marvelous piece architecture place main tourist map ignored biggest stepwell india site hosted hollywood bollywood movies lot statues actually,4,Anonymous,07/06/2016
Location 2,Chand Baori (Step well),really preserved step ideally situated mins agra jaipur road unfortunately longer climb steps fun walk photo busy peak season entry free recon,5,Anonymous,20/07/2021
Location 2,Chand Baori (Step well),family drove chandler baori jaipur worth drive truly architectural wonder unbelievable free visit village temple,5,Anonymous,07/05/2021
Location 2,Chand Baori (Step well),amazing wel steps marvel architecture admire talent artisans built thousand years ago modern technology tools site requires major maintenance renovation furthermore connecting roads parking,5,Anonymous,29/09/2014
Location 2,Chand Baori (Step well),village abhaneri far road agra jaipur frequented tourists golden triangle popular stop stepwell impressive india,4,Anonymous,11/06/2021
Location 2,Chand Baori (Step well),old water reservoir underground spring used preserve store water steps fetch water area water scarcity old structure high importance,4,Anonymous,29/06/2018
Location 2,Chand Baori (Step well),place amazing piece architecture stunning view bit really let poor upkeep surroundings tourist attraction reason getting roadwork leading place atleast,4,Anonymous,28/03/2023
Location 2,Chand Baori (Step well),went stepwell gate tour stepwell amazing stepwells built make easier water provides localized cooling source hard believe architectural wonder,4,Anonymous,26/07/2013
Location 2,Chand Baori (Step well),step incredible free enter temple sits inside karma sutra temple ruins short distance away pieces preserved step officials refused donation,3,Anonymous,24/07/2022
Location 2,Chand Baori (Step well),known tourists visited amazing opportunity pictures soak wonder structure outside stalks good place souvenirs quality higher places,5,Anonymous,10/07/2018
Location 2,Chand Baori (Step well),overrun tourists excellent photo opportunities structure unlike monuments itinerary area,4,Anonymous,21/05/2019
Location 2,Chand Baori (Step well),people know place absolutely quiet hawkers touts spend time want admittedly isnt admire stepwell,2,Anonymous,27/03/2016
Location 2,Chand Baori (Step well),stopped en route ranthanbore worth stopping really nice place crowded free entry looks really good photos lot people stop mins,5,Anonymous,06/12/2017
Location 2,Chand Baori (Step well),heard stepwell surprise saw architecture amazing steps feet looking st makes wonder construction definitely,5,Anonymous,06/11/2022
Location 2,Chand Baori (Step well),way jaipur agra driver asked wanted stepwell knowing friend replied yes driver took turn entered narrower road,4,Anonymous,17/02/2020
Location 2,Chand Baori (Step well),step near abhaneri village tears old amazing site feet deep steps built symmetrically sides worth visit sorry pun,4,Anonymous,03/10/2020
Location 2,Chand Baori (Step well),visited way jaipur agra seen step fascinated old architecture free enter addition step sculptures,5,Anonymous,27/05/2014
Location 2,Chand Baori (Step well),amazing place stop way agra jaipur need spend minutes pretty incredible structure uniquely indian definitely recommend stop beat step saw india,5,Anonymous,07/12/2018
Location 2,Chand Baori (Step well),stopped tour vegnews vegvoyages architecture stunning long check definitely worth stopping,4,Anonymous,14/07/2014
Location 2,Chand Baori (Step well),really old step years old thing fascination maintained look old seen baoli yes useful,5,Anonymous,21/10/2018
Location 2,Chand Baori (Step well),went low hopes stunning work people time really amazing chand baori built th th centuries narrow steps arranged perfect symmetry descend,5,Anonymous,13/04/2020
Location 2,Chand Baori (Step well),stopped way agra truly amazed place excellent guide taken explain jaw dropping sight stepwell like seen yes,5,Anonymous,16/08/2017
Location 2,Chand Baori (Step well),stunning stepwell bit disappointed allowed stairs looking pretty amazing impressive want know king chand salute royal architect guess,5,Anonymous,13/08/2021
Location 2,Chand Baori (Step well),village stop way jaipur amazing structure middle huge impressive surprise massive geometric stepped configuration access,5,Anonymous,28/01/2017
Location 2,Chand Baori (Step well),tiny village abhaneri way jaipur agra tour group stopped visit remarkable amazing chand baori stepwell long visit site remains memorable,5,Anonymous,09/09/2014
Location 2,Chand Baori (Step well),artwork people built really appreciable unique work great place,4,Anonymous,23/06/2017
Location 2,Chand Baori (Step well),chand baori stunning step outside expect impressive architecture inside visit miss harshat mata temple vicinity chai small restaurant opposite temple,4,Anonymous,23/08/2013
Location 2,Chand Baori (Step well),deep amazed symmetry size took short min visit took photos various angles addition took short visit hindu temple right,4,Anonymous,22/11/2019
Location 1,19 Degree North,visited adventitious sports atv biking zip lining rock climbing good paint ball decent worth visiting,4,Anonymous,22/06/2013
Location 2,Chand Baori (Step well),wonder engineering remaining stepwells fabulous condition plain exterior belies geometrical marvel allow thirty minutes visit photos angles appreciate light shadow,5,Anonymous,06/10/2016
Location 1,19 Degree North,stayed property time stayed aamby valley visit atv ride,3,Anonymous,19/04/2015
Location 2,Chand Baori (Step well),really beautiful indian stepwell th century meters deep deeper look upper level,4,Anonymous,23/01/2015
Location 1,19 Degree North,went couple friends weekend amazing played paintball wall climbing atv biking kids zip lining amazing created place centre nature,5,Anonymous,12/09/2022
Location 2,Chand Baori (Step well),quite sure heading soon arrived amazed steps impressive incredibly symmetrical definitely good photos plus way tourists definitely recommend,5,Anonymous,04/05/2014
Location 1,19 Degree North,time booking staff recommended cottage son th birthday wanted fun privacy requested cake room promised reaching place told party dj mts,5,Anonymous,30/05/2019
Location 2,Chand Baori (Step well),stopped way jaipur agra seen web looked awesome superb breath taking structure fact years old adds beauty,5,Anonymous,17/04/2022
Location 1,19 Degree North,took short bus ride amby valley took adventurous ride jungle vehicle cruises rocks truly memorable experience darkness clear sky star gazer treat,5,Anonymous,01/03/2021
Location 2,Chand Baori (Step well),impressive constructed learn history especially royalty private area interesting walk entire structure,4,Anonymous,17/12/2020
Location 1,19 Degree North,atv ride best miss adventurous sports visit aamby valley city amazing experience,5,Anonymous,01/08/2016
Location 2,Chand Baori (Step well),driving ranthambhore planned stop abhaneri village chand baori happy spectacular abhaneri known baori step invented villagers harvest rain water baori used,4,Anonymous,03/12/2016
Location 1,19 Degree North,adventure park located short distance aamby valley city exit gate offers atv track jungle safari rock climbing zipline paintball things quite organised maintained people polite service good restaurant,4,Anonymous,05/03/2015
Location 2,Chand Baori (Step well),village interesting worth walking round main attraction chand baori years old extends approximately ground making deepest largest stepwells india chand baori used,5,Anonymous,07/05/2015
Location 1,19 Degree North,excellent place staff really friendly great place witness different kinds adventure sports atv zipline rock climbing jungle safari worth,5,Anonymous,15/06/2022
Location 2,Chand Baori (Step well),spectacular sights stepwell massive beautifully carved driver narindah stopped stepwell drive agra jaipur entry free need guide guide rs,4,Anonymous,13/04/2018
Location 1,19 Degree North,degree north designated area engaging adventure events area outside gated city road leading destination quite adventurous atv track created best track experienced india,5,Anonymous,19/05/2016
Location 2,Chand Baori (Step well),road jaipur worth change direction abhaneri middle rural landscape village like village stuned symmetry size baori ancient stay amazed,5,Anonymous,08/07/2021
Location 1,19 Degree North,amazing time degree north thanx akshay ensuring office team experience remember long time akshay team sure team building activities executed misses helped,4,Anonymous,07/11/2018
Location 2,Chand Baori (Step well),seen photographs read stepwells india glad chance visit awesome photos portray immense amazing architecture built store water monsoon,5,Anonymous,09/07/2015
Location 2,Chand Baori (Step well),wanted kind baoris seen bollywwod movies documentaries chand baori abhaneri real man wonder guant step stories reach water design,4,Anonymous,21/10/2018
Location 2,Chand Baori (Step well),chand baori really amazing place completely neglected asi biggest problem public transportation food,2,Anonymous,23/05/2016
Location 2,Chand Baori (Step well),worth little detour agra good historical place little local village market got stopped locals selling stuff beggars india couple days,4,Anonymous,04/03/2016
Location 2,Chand Baori (Step well),small detour way agra jaipur definitely worth small village small market temple stepwell dark knight rises movie captured spectacular architecture free charge,5,Anonymous,29/12/2015
Location 2,Chand Baori (Step well),amazing place interesting history levels step level used entertaining royalty dive platforms water photo green,5,Anonymous,15/12/2019
Location 2,Chand Baori (Step well),route jaipur agra abhaneri place chand baori situated km jaipur easy reach place situated quite interiors village hey thanks google,4,Anonymous,20/01/2014
Location 2,Chand Baori (Step well),amazing absolutely amazing structure interesting definitiely guide make history come alive people selling trinkets guy selling bracelets amazing handmade,5,Anonymous,24/09/2013
Location 2,Chand Baori (Step well),chand bawari year friends amazing symbols art work stone people use step long time ago real village small market entry fee near,5,Anonymous,12/07/2016
Location 2,Chand Baori (Step well),deepest step wells india constructed store rainwater arid region king decides dig style perfectly aligned narrow steps leads approx feet unfortunately visitors allowed,4,Anonymous,27/11/2018
Location 2,Chand Baori (Step well),amazing site beautiful pond stairs beautifully carved totally ignored asi public transport option food cold water,5,Anonymous,05/01/2017
Location 2,Chand Baori (Step well),seen step wells bollywood indian language movies thought maybe good photo background really planning visit chand baori suggestion driver place,4,Anonymous,23/03/2023
Location 2,Chand Baori (Step well),place wow factor amazing engineering history interesting definitely worth taking time,5,Anonymous,23/02/2015
Location 2,Chand Baori (Step well),abhaneri located nh jaipur agra highway situated distance km jaipur abhaneri originally named abha nagri means city brightness centuries changed way pronounced chand baori,4,Anonymous,15/12/2018
Location 2,Chand Baori (Step well),amazing structure worth stop drive agra jaipur alternatively worth driving jaipur hard believe size construction baths,4,Anonymous,13/03/2019
Location 2,Chand Baori (Step well),place visit place northern indian itinerary entrance photography free vodeography lady guard showed notice board asked rs moment saw gopro cool thing,4,Anonymous,28/05/2014
Location 2,Chand Baori (Step well),recomendation place perfact stepwell good engineering design wowww amazing jit missing visit,4,Anonymous,12/01/2018
Location 2,Chand Baori (Step well),wanted visit forever disappointed deep step used royal swimming pool place cool times extreme heat really interesting considering,4,Anonymous,26/11/2013
Location 2,Chand Baori (Step well),amazing site bit beaten path definitely worth going believe admission price marvel definitely worth going caretaker tour,5,Anonymous,25/06/2021
Location 2,Chand Baori (Step well),really beautiful place visit architecturally aesthetically pleasing look gentleman offered talk history facts place,5,Anonymous,19/09/2020
Location 2,Chand Baori (Step well),travelled agra jaipur stop offs te best stepwell built king chanda nikumbha dynasty th th century conserve water moonsoon season,4,Anonymous,17/11/2021
Location 2,Chand Baori (Step well),traveling agra jaipur good short visit entrance fee suggest ignore guides information step week voila google,3,Anonymous,16/10/2020
Location 2,Chand Baori (Step well),visit places travelling jaipur agra requires short diversion albeit toll road built king chanda nikumbha dynasty ad,3,Anonymous,12/06/2015
Location 2,Chand Baori (Step well),preserved impressive stepwells rajasthan hour drive delhi worth especially roads excellent condition walls complex display various sculptures guides available,5,Anonymous,02/02/2019
Location 2,Chand Baori (Step well),spend time drive offers authentically indian view construction dating th century huge beautiful,4,Anonymous,27/02/2015
Location 2,Chand Baori (Step well),chand baori stepwell situated village abhaneri indian state rajasthan located highway jaipur agra chand baori consists narrow steps stories extends approximately ground making,3,Anonymous,16/09/2018
Location 2,Chand Baori (Step well),place simply amazing beautiful builder provision people time government best place good shape jaipur agra road,5,Anonymous,19/12/2014
Location 2,Chand Baori (Step well),deep stepwell symmetric completely hypnotized quiet serene overcrowded place popular indian tourists foreign tourists globe went,4,Anonymous,07/11/2021
Location 2,Chand Baori (Step well),hyderabad landed jaipur airport shiv villas hotel completed hawa mahal jal mahal interested visting ajmer fort bored planned chand baori local transport like bus train,4,Anonymous,23/03/2020
Location 2,Chand Baori (Step well),imagined step wells exciting structure exciting busy locals forms beautiful frame colours step structure admire architecturally,5,Anonymous,20/03/2023
Location 2,Chand Baori (Step well),step far away jaipur takes minutes hour road trip minutes crazy worth close going jaipur,3,Anonymous,22/07/2013
Location 2,Chand Baori (Step well),largest step india surprises deeper looks speaks volumes kind architecture existed times entry free stepwell,5,Anonymous,15/05/2016
Location 2,Chand Baori (Step well),minor detour main road agra jaipur free visit takes minutes walk worth pictures remind escher drawing,4,Anonymous,31/07/2019
Location 2,Chand Baori (Step well),quite impressive step preserved piece indian architecture usual tourist track visitors visited wary official guide pouncing place need,4,Anonymous,27/06/2013
Location 2,Chand Baori (Step well),hidden gem offbeat places visit entry place free chand baori india deepest stepwell built th th century architecture amazing construction stepwell really makes think,5,Anonymous,11/01/2016
Location 2,Chand Baori (Step well),looks like escher designed ancient spiritual lucky guide stopped destination se worthwhile,4,Anonymous,03/07/2017
Location 2,Chand Baori (Step well),captivating beautiful places visited delhi history srenity place worth going disadvantage budget hotel lodge prolong stay tourist friendly day,4,Anonymous,16/03/2019
Location 2,Chand Baori (Step well),quick stop staying abaneri tented safari village need guide despite trying escorts fee make sure leave donation lady looks,3,Anonymous,07/09/2014
Location 2,Chand Baori (Step well),way jaipur agra went rural towns wondering particular route asking driver said going visit baori chand baori oldest,3,Anonymous,09/05/2014
Location 2,Chand Baori (Step well),hidden gems people rarely centre city long gone left structure lots fallen pillars doorways carved intricate patterns,3,Anonymous,02/02/2014
Location 2,Chand Baori (Step well),small great hats creator years ago precision modern day tools kits sculptures awesome visit,5,Anonymous,17/10/2020
Location 2,Chand Baori (Step well),beautiful unique architectures india fascinated stepwells watching batman dark knight rises saw baori rajashtan film booked tickets follow india stepwell trail,5,Anonymous,27/12/2017
Location 2,Chand Baori (Step well),india deepest stepwell feet ground steps levels initial research said free attraction charge inr private tour rajasthan slight detour,4,Anonymous,16/05/2018
Location 2,Chand Baori (Step well),visited coming mehndipur delhi place worth visit love place interested ancient indian history,5,Anonymous,25/08/2021
Location 2,Chand Baori (Step well),folks steps instagram pics fences guards yell going quickly july hot stinky,2,Anonymous,25/07/2014
Location 2,Chand Baori (Step well),short fascinating extraordinary piece engineering art worth visit free aware guide try read hand probably worthwhile really cheap,5,Anonymous,17/07/2019
Location 2,Chand Baori (Step well),impressive structure worth seeing minute viewing arrive pay pix depart want say extra time,4,Anonymous,13/10/2015
Location 2,Chand Baori (Step well),little way worth trip interested ancient indian architecture bring water prepared tip various guides rewarded hand look thousand year old step sound boring,5,Anonymous,26/03/2014
Location 2,Chand Baori (Step well),fabulous geometric structure leading walk really long recently started charge inr credit card,4,Anonymous,04/02/2023
Location 2,Chand Baori (Step well),stopped en route agra jaipur worth making stop accessed number steps amazing sight access steps able walk round perimeter,4,Anonymous,20/11/2015
Location 2,Chand Baori (Step well),told step largest asia built th century impressive said batman films filmed,4,Anonymous,17/12/2020
Location 2,Chand Baori (Step well),outstanding place hands greedy incompetent people forbidden desired tip given photos stands indian adagio place beautiful mystical say batman movie sequence,4,Anonymous,05/05/2022
Location 2,Chand Baori (Step well),probable chance visit step seen films documentaries unfortunately rushed visit worth diversion set small village country doubt make like,3,Anonymous,20/11/2019
Location 2,Chand Baori (Step well),things temple step temple nearly years old priest sitting time step probably old,3,Anonymous,26/12/2014
Location 2,Chand Baori (Step well),chand baori abhaneri city happiness biggest step wells india built th century ad stairs water palace built people,4,Anonymous,20/09/2021
Location 2,Chand Baori (Step well),chand baori stepwell located small village called abhaneri stepwell absolutely fascinating hard believe built precision long ago stairs beautifully carved,5,Anonymous,05/06/2021
Location 2,Chand Baori (Step well),amazed stepwell incredible structure frequented tourist sites enjoyed wandering looking awe large pieces stone carvings scattered broken,4,Anonymous,06/05/2016
Location 2,Chand Baori (Step well),abhaneri known baori step invented natives harvest rain water baori used cool place retreat water source reservoir parched times year chand baori remains,4,Anonymous,25/03/2020
Location 2,Chand Baori (Step well),movie geek course place got tarsem singh place places rajasthan featured masterpiece fall time favorite hey,4,Anonymous,01/09/2016
Location 2,Chand Baori (Step well),place ok think overpriced yes interesting stone work amazing honest walk minutes half hour taking photo,5,Anonymous,16/06/2019
Location 2,Chand Baori (Step well),abhaneri known baori step invented natives harvest rain water baori used cool place retreat water source reservoir parched times year chand baori remains,4,Anonymous,04/01/2018
Location 2,Chand Baori (Step well),visited december went bhangarh fort gem seen step hampi karnataka big chand baori beautiful thousands crafted steps,4,Anonymous,04/07/2021
Location 2,Chand Baori (Step well),chand baori stepwell situated village abhaneri km jaipur went getting taxi drive agra jaipur stepwells saw india chand baori amazing,4,Anonymous,27/08/2013
Location 2,Chand Baori (Step well),specifically chose trip stop disappointed bucket list place beauty geometry stepwell storeys deep seen pictures place,3,Anonymous,08/02/2015
Location 2,Chand Baori (Step well),visit india step decided chand baori step abhaneri agra jaipur step wells impressive huge fine sculptures,5,Anonymous,16/01/2023
Location 2,Chand Baori (Step well),way jaipur agra visa versa favour extra hour visit oldest largest step wells world truely inspired architecture sheer size wonder,5,Anonymous,16/04/2016
Location 2,Chand Baori (Step well),looking engineering went building step wells machinery amazing symmetrical stood test time imagine great meeting places years gone place,5,Anonymous,25/03/2017
Location 2,Chand Baori (Step well),best architecural marvel available india great approach reach visit,5,Anonymous,29/06/2018
Location 2,Chand Baori (Step well),beautiful step located small village abhaneri mesmerizing view steps difficult understand purpose property ok nearby structure like harshal mata temple vandalized permission stairs,4,Anonymous,22/07/2019
Location 2,Chand Baori (Step well),chand baori beautiful step km bandikui showing beautiful poornima night,5,Anonymous,14/05/2014
Location 2,Chand Baori (Step well),fellow travellers oldest deepest steowells u rajasthan place little detour way alwar jaipur jaipur agra combination jaipur reasons u,3,Anonymous,03/12/2021
Location 2,Chand Baori (Step well),beautiful kind place visit covered way ranthambore jaipur city car rental company planned wanted visit jaipur city,5,Anonymous,19/02/2015
Location 2,Chand Baori (Step well),ancient wonderful step structure design visit place kms away jaipur agra express way,4,Anonymous,22/07/2018
Location 2,Chand Baori (Step well),visited place hour sun punishing layout steps artefacts engrossing need hire guide want hear history trip including visit adjacent temple,2,Anonymous,30/05/2014
Location 2,Chand Baori (Step well),visited step nov ok way worth detour worth spend hours allowed site,4,Anonymous,12/04/2018
Location 2,Chand Baori (Step well),like ancient man wonders th century step really appreciated actual close personal visit photographs justice site steps looked perfect staring looking,5,Anonymous,03/01/2020
Location 2,Chand Baori (Step well),visit chand baori spectacular saw time sights wonderful repeat visits beauty geometry chand baori timeless like beautiful art times,5,Anonymous,22/09/2014
Location 2,Chand Baori (Step well),original agenda wow glad guide took truly awesome build time undergoing renovation beautiful carvings seen,5,Anonymous,06/06/2013
Location 2,Chand Baori (Step well),sightseeing dehli seen stepwell impressed new level impressive bit ancient building work seen believed free,5,Anonymous,27/01/2015
Location 2,Chand Baori (Step well),place awesome grandeur step mind boggling hayday unfortunately government needs cataloging magnificent sculptures little information available,5,Anonymous,04/10/2018
Location 2,Chand Baori (Step well),equally blown away taj mahal totally different thing equally jaw dropping escher like patterns repeated graduated step formations deep stunning free entry tip entrance keeper,5,Anonymous,29/04/2023
